,zipcode,latitude,longitude,cluster,x,y
2342,07882,40.7361,-74.2251,11,1807839.1258855986,2177463.4087812155
2343,45723,43.5663,-92.0145,8,320438.0715301705,2292655.431273865
2344,77573,40.8742,-74.35,11,1794156.9999882495,2190160.448052483
2345,33015,40.7056,-74.0083,11,1826301.3532538803,2178282.931731395
2346,75104,42.5327,-71.0339,1,2014853.6494246502,2436674.944971084
2347,38930,29.7758,-95.3121,14,66481.16867168469,744741.8275718594
2348,77489,37.9939,-121.8089,5,-2217581.7898988635,1965128.478659957
2349,75010,37.6574,-122.4235,5,-2279390.462875595,1943370.378981502
2350,95372,40.9252,-74.1781,11,1806852.3605293103,2198979.6726788445
2351,60045,40.4308,-79.9205,9,1346079.2022480676,2049391.6497652156
2352,11577,34.268,-85.862,4,924640.5117575253,1294299.1408291333
2353,43016,39.8504,-74.9646,11,1769250.9059472745,2066828.218649561
2354,35462,47.9222,-122.6896,17,-1984341.7374372582,3050073.82561621
2355,10801,38.0573,-76.6616,7,1669196.7314315457,1839668.8532631109
2356,98383,36.8191,-77.4832,7,1626066.2461012644,1689406.3664353848
2357,17601,40.0859,-80.0703,9,1340103.648172176,2009181.6275981776
2358,43724,41.5735,-78.6823,9,1425438.4617139702,2193429.543348864
2359,94306,36.8585,-76.0019,7,1753372.5038614986,1720069.0712354344
2360,48215,37.1539,-121.9816,5,-2257468.3970631445,1878527.955050644
2361,48101,40.5622,-80.4388,9,1300685.9025378006,2056689.4246209767
2362,98244,32.8113,-85.1749,4,1005537.4421252338,1139569.4267525207
2363,76028,40.9331,-74.0195,11,1819547.4978998506,2202866.9613417382
2364,76234,40.2669,-74.525,11,1795144.25693061,2120575.944663108
2365,98935,31.8562,-90.4051,19,526796.8311020932,991273.2531371792
2366,39401,33.0304,-96.8777,0,-81478.67210567018,1107063.025743421
2367,07010,25.8902,-80.2101,12,1589917.1291261793,448069.0399855051
2368,15767,47.9861,-122.7883,17,-1989524.5058122955,3058908.039447715
2369,46064,42.6735,-82.9163,18,1062614.6036977943,2259483.428930493
2370,22482,40.7368,-74.3271,11,1799500.6344117704,2175603.8715533973
2371,22460,32.3299,-90.0915,19,553007.4670024005,1045745.6344242994
2372,29729,39.2077,-82.6908,10,1134975.5187462051,1877794.7939896402
2373,33028,30.1774,-96.4028,14,-38739.402969606585,789147.0610435312
